FILE_NAME,FILE_SIZE,TIME,KDF,CIPHER,TRANSFORMATION,KEY_LENGTH
650.txt,1048575,381,PBKDF2WithHmacSHA1,DES,DES/CBC/PKCS5Padding,64
916.txt,1048575,131,PBKDF2WithHmacSHA1,DES,DES/CBC/PKCS5Padding,64
276.txt,1048575,102,PBKDF2WithHmacSHA1,DES,DES/CBC/PKCS5Padding,64
1483.txt,1048575,87,PBKDF2WithHmacSHA1,DES,DES/CBC/PKCS5Padding,64
1122.txt,1048575,87,PBKDF2WithHmacSHA1,DES,DES/CBC/PKCS5Padding,64
1061.txt,1048575,82,PBKDF2WithHmacSHA1,DES,DES/CBC/PKCS5Padding,64
1297.txt,1048575,79,PBKDF2WithHmacSHA1,DES,DES/CBC/PKCS5Padding,64
219.txt,1048575,74,PBKDF2WithHmacSHA1,DES,DES/CBC/PKCS5Padding,64
1067.txt,1048575,79,PBKDF2WithHmacSHA1,DES,DES/CBC/PKCS5Padding,64
760.txt,1048575,83,PBKDF2WithHmacSHA1,DES,DES/CBC/PKCS5Padding,64
532.txt,1048575,94,PBKDF2WithHmacSHA1,DES,DES/CBC/PKCS5Padding,64
151.txt,1048575,87,PBKDF2WithHmacSHA1,DES,DES/CBC/PKCS5Padding,64
391.txt,1048575,82,PBKDF2WithHmacSHA1,DES,DES/CBC/PKCS5Padding,64
126.txt,1048575,72,PBKDF2WithHmacSHA1,DES,DES/CBC/PKCS5Padding,64
1082.txt,1048575,85,PBKDF2WithHmacSHA1,DES,DES/CBC/PKCS5Padding,64
434.txt,1048575,80,PBKDF2WithHmacSHA1,DES,DES/CBC/PKCS5Padding,64
603.txt,1048575,79,PBKDF2WithHmacSHA1,DES,DES/CBC/PKCS5Padding,64
1282.txt,1048575,74,PBKDF2WithHmacSHA1,DES,DES/CBC/PKCS5Padding,64
612.txt,1048575,80,PBKDF2WithHmacSHA1,DES,DES/CBC/PKCS5Padding,64
521.txt,1048575,82,PBKDF2WithHmacSHA1,DES,DES/CBC/PKCS5Padding,64
610.txt,1048575,81,PBKDF2WithHmacSHA1,DES,DES/CBC/PKCS5Padding,64
1286.txt,1048575,75,PBKDF2WithHmacSHA1,DES,DES/CBC/PKCS5Padding,64
129.txt,1048575,79,PBKDF2WithHmacSHA1,DES,DES/CBC/PKCS5Padding,64
983.txt,1048575,75,PBKDF2WithHmacSHA1,DES,DES/CBC/PKCS5Padding,64
577.txt,1048575,72,PBKDF2WithHmacSHA1,DES,DES/CBC/PKCS5Padding,64
1030.txt,1048575,75,PBKDF2WithHmacSHA1,DES,DES/CBC/PKCS5Padding,64
1249.txt,1048575,73,PBKDF2WithHmacSHA1,DES,DES/CBC/PKCS5Padding,64
1440.txt,1048575,85,PBKDF2WithHmacSHA1,DES,DES/CBC/PKCS5Padding,64
882.txt,1048575,78,PBKDF2WithHmacSHA1,DES,DES/CBC/PKCS5Padding,64
1448.txt,1048575,435,PBKDF2WithHmacSHA1,DES,DES/CBC/PKCS5Padding,64
614.txt,1048575,75,PBKDF2WithHmacSHA1,DES,DES/CBC/PKCS5Padding,64
