,FILE_NAME,ORIGINAL_FILENAME,FILE_SIZE,TIME,KDF,CIPHER,TRANSFORMATION,KEY_LENGTH
0,3331302e747874:SHA1:DES_64:1000:6d7160df0cf3b68c:0408262a3a018e756dd5,310.txt,1048575,737,PBKDF2WithHmacSHA1,DES,DES/CBC/PKCS5Padding,64
1,313134332e747874:SHA1:DES_64:1000:3e8adc03aabd23b9:0408262a3a018e756dd5,1143.txt,1048575,304,PBKDF2WithHmacSHA1,DES,DES/CBC/PKCS5Padding,64
2,313434322e747874:SHA1:DES_64:1000:325741f6fdf79f25:0408262a3a018e756dd5,1442.txt,1048575,290,PBKDF2WithHmacSHA1,DES,DES/CBC/PKCS5Padding,64
3,313336342e747874:SHA1:DES_64:1000:7e57539634e738c1:0408262a3a018e756dd5,1364.txt,1048575,357,PBKDF2WithHmacSHA1,DES,DES/CBC/PKCS5Padding,64
4,313134352e747874:SHA1:DES_64:1000:183c1cf8317e5b30:0408262a3a018e756dd5,1145.txt,1048575,298,PBKDF2WithHmacSHA1,DES,DES/CBC/PKCS5Padding,64
5,3436392e747874:SHA1:DES_64:1000:e3ab34f6d22739dc:0408262a3a018e756dd5,469.txt,1048575,373,PBKDF2WithHmacSHA1,DES,DES/CBC/PKCS5Padding,64
6,313238322e747874:SHA1:DES_64:1000:e8cfdbb6332cf567:0408262a3a018e756dd5,1282.txt,1048575,454,PBKDF2WithHmacSHA1,DES,DES/CBC/PKCS5Padding,64
7,3532382e747874:SHA1:DES_64:1000:c263d50ec33e0866:0408262a3a018e756dd5,528.txt,1048575,359,PBKDF2WithHmacSHA1,DES,DES/CBC/PKCS5Padding,64
8,3337312e747874:SHA1:DES_64:1000:bc3e6d16aeec4a4c:0408262a3a018e756dd5,371.txt,1048575,681,PBKDF2WithHmacSHA1,DES,DES/CBC/PKCS5Padding,64
9,313431342e747874:SHA1:DES_64:1000:c557485cbd63303a:0408262a3a018e756dd5,1414.txt,1048575,306,PBKDF2WithHmacSHA1,DES,DES/CBC/PKCS5Padding,64
